suburb,Year,House price,Vacant Price,Unit price
OFFICER,2018,550000,329000,449000
OFFICER,2019,550000,318000,430000
PAKENHAM,2015,367000,187000,290000
PAKENHAM,2016,400000,199000,310000
PAKENHAM,2017,470000,230000,355500
PAKENHAM,2018,520000,300000,399000
PAKENHAM,2019,485000,297500,370000
PAYNESVILLE,2015,302500,141500,233000
PAYNESVILLE,2016,308000,115000,266000
PAYNESVILLE,2017,335000,145000,272500
PAYNESVILLE,2018,353000,155000,272500
PAYNESVILLE,2019,339000,131000,295000
POINT COOK,2015,465000,280000,355000
POINT COOK,2016,505000,305000,377500
POINT COOK,2017,592000,330000,449500
POINT COOK,2018,631500,440000,472000
POINT COOK,2019,640500,411000,465000
POINT LONSDALE,2015,655000,265000,475000
POINT LONSDALE,2016,641000,251500,610000
POINT LONSDALE,2017,775000,320000,557500
POINT LONSDALE,2018,840000,367500,675000
POINT LONSDALE,2019,827500,397500,595500
PORT FAIRY,2015,447500,185000,331000
PORT FAIRY,2016,473500,220000,395000
PORT FAIRY,2017,500000,215000,590000
PORT FAIRY,2018,651000,235000,447500
PORT FAIRY,2019,630000,235000,522500
PORTARLINGTON,2015,409000,192000,340000
PORTARLINGTON,2016,460000,180000,356500
PORTARLINGTON,2017,515000,200000,405000
PORTARLINGTON,2018,640000,250000,460000
PORTARLINGTON,2019,621500,355000,494000
PORTLAND,2015,220000,52000,210000
PORTLAND,2016,220000,82000,150000
PORTLAND,2017,230000,50000,180000
PORTLAND,2018,234500,76000,171500
PORTLAND,2019,267500,60000,189500
RIDDELLS CREEK,2015,456500,245000,326500
RIDDELLS CREEK,2016,500000,260000,380000
RIDDELLS CREEK,2017,580000,269500,386500
RIDDELLS CREEK,2018,675000,360000,400000
RIDDELLS CREEK,2019,695000,418000,490000
ROMSEY,2015,420000,179000,315500
ROMSEY,2016,428000,186000,330500
ROMSEY,2017,470000,204000,288000
ROMSEY,2018,550000,261000,350000
ROMSEY,2019,580500,305000,425000
ROSEBUD,2015,389000,205000,380000
ROSEBUD,2016,445000,340000,432000
ROSEBUD,2017,536000,360000,499000
ROSEBUD,2018,590000,320000,535000
ROSEBUD,2019,545000,440000,525000
ROXBURGH PARK,2015,400000,239000,324000
ROXBURGH PARK,2016,435000,263000,321000
ROXBURGH PARK,2017,515000,263500,398000
ROXBURGH PARK,2018,546000,277500,390000
ROXBURGH PARK,2019,540000,327500,401000
RYE,2015,488000,275000,370000
RYE,2016,550000,282500,420000
RYE,2017,658000,370000,490000
RYE,2018,705000,450000,550000
RYE,2019,690000,446000,475000
SAFETY BEACH,2015,595000,305000,312000
SAFETY BEACH,2016,665000,420500,453500
SAFETY BEACH,2017,780000,447500,668000
SAFETY BEACH,2018,849000,450000,655000
SAFETY BEACH,2019,785000,570000,665000
SALE,2015,298000,125500,220000
SALE,2016,295500,128000,221000
SALE,2017,300000,137000,282500
SALE,2018,308000,142000,215000
SALE,2019,325000,135000,210000
SAN REMO,2015,420000,250000,255000
SAN REMO,2016,460000,249000,294000
SAN REMO,2017,497000,240000,351000
SAN REMO,2018,515000,275000,360000
SAN REMO,2019,554500,312500,228000
SEBASTOPOL,2015,244500,105000,215000
SEBASTOPOL,2016,248000,111000,212000
SEBASTOPOL,2017,256000,115000,218000
SEBASTOPOL,2018,289500,116500,236000
SEBASTOPOL,2019,315000,141000,235500
SEYMOUR,2015,225000,82000,179500
SEYMOUR,2016,242500,112500,190000
SEYMOUR,2017,277000,89500,163000
SEYMOUR,2018,295000,140000,195000
SEYMOUR,2019,300000,155000,195000
SHEPPARTON,2015,250000,127000,215000
SHEPPARTON,2016,265000,128000,210000
SHEPPARTON,2017,261000,124500,225000
SHEPPARTON,2018,275000,127500,195000
SHEPPARTON,2019,282000,127500,252000
SOMERVILLE,2015,425000,278000,320000
SOMERVILLE,2016,465000,315000,350000
SOMERVILLE,2017,580000,325000,403500
SOMERVILLE,2018,615000,374000,475000
SOMERVILLE,2019,600000,440000,453500
SOUTH MORANG,2015,450000,270000,360000
SOUTH MORANG,2016,502000,280000,365000
SOUTH MORANG,2017,610500,274000,423000
SOUTH MORANG,2018,635000,419000,450000
SOUTH MORANG,2019,625500,420000,407000
SPRING GULLY,2015,350000,315000,210000
SPRING GULLY,2016,350000,194000,220000
SPRING GULLY,2017,390000,321500,306500
SPRING GULLY,2018,400000,199500,282500
SPRING GULLY,2019,386500,177500,280000
ST ALBANS,2015,428000,311500,325000
ST ALBANS,2016,500000,452500,340000
ST ALBANS,2017,621000,495000,385000
ST ALBANS,2018,626500,555000,440000
ST ALBANS,2019,590000,468500,430000
ST LEONARDS,2015,375000,181500,382500
ST LEONARDS,2016,421500,179000,325000
ST LEONARDS,2017,469000,165000,356000
ST LEONARDS,2018,571500,199000,345000
ST LEONARDS,2019,562500,227500,419000
STRATHDALE,2015,410500,234000,252500
STRATHDALE,2016,445000,239000,239500
STRATHDALE,2017,380000,267500,270000
STRATHDALE,2018,420000,242000,260000
STRATHDALE,2019,453500,243500,273500
SUNBURY,2015,370000,215000,320000
SUNBURY,2016,395000,218000,358000
SUNBURY,2017,492000,235000,375000
SUNBURY,2018,545000,332000,415000
SUNBURY,2019,535000,320000,395000
SUNSHINE NORTH,2015,495000,280000,355000
SUNSHINE NORTH,2016,560000,387500,415000
SUNSHINE NORTH,2017,651000,430000,450000
SUNSHINE NORTH,2018,682500,315000,455500
SUNSHINE NORTH,2019,630000,434000,512000
SWAN HILL,2015,248000,88000,189000
SWAN HILL,2016,262500,102500,230000
SWAN HILL,2017,252000,109000,222500
SWAN HILL,2018,267000,138000,212000
SWAN HILL,2019,285000,113000,245000
TARNEIT,2015,400000,210000,300000
TARNEIT,2016,445000,225000,320500
TARNEIT,2017,515000,274500,377500
TARNEIT,2018,568500,297000,403000
